min_wage,max_wage,description,
3000,13000,отвечающий за разработку и поддержку веб-приложений.,
4000,14000,ответственный за продвижение сайта и увеличение его посещаемости.,
5000,15000,проводящий исследования рынка и анализирующий финансовые показатели компании.,
6000,16000,обеспечивающая уход и поддержку пациентов в медицинском учреждении.,
7000,17000,создающий уникальные и привлекательные пользовательские интерфейсы.,
8000,18000,предлагающий клиентам качественные товары и оказывающий помощь в выборе.,
9000,19000,разрабатывающий инновационные технические решения.,
10000,20000,отвечающий за управление и обслуживание баз данных компании.,
11000,21000,оказывающий поддержку в организационных и административных вопросах.,
12000,22000,создающий функциональные и эстетически привлекательные пространства.,
13000,23000,управляющий отношениями с клиентами и обеспечивающий их удовлетворенность услугами компании.,
14000,24000,обучающий студентов различных уровней владения языком.,
15000,25000,отвечающий за поддержку и обслуживание компьютерной инфраструктуры предприятия.,
16000,26000,создающий высококачественные фотографии для различных целей.,
17000,27000,осуществляющий активные продажи товаров или услуг компании.,
18000,28000,создающий инновационные приложения для смартфонов и планшетов.,
19000,29000,предоставляющий юридическую поддержку и консультации в правовых вопросах.,
20000,30000,отвечающий за ведение финансовой отчетности и учет операций компании.,
21000,31000,осуществляющий ремонт и обслуживание автомобилей.,
22000,32000,проверяющий и редактирующий тексты для печатных изданий или онлайн-платформ.,
23000,33000,координирующий выполнение задач и обеспечивающий достижение целей проекта.,
24000,34000,проводящий диагностику и лечение общих заболеваний пациентов.,
25000,35000,создающий графические элементы для различных медиа-платформ.,
26000,36000,занимающийся проектированием и обслуживанием электрических систем и оборудования.,
27000,37000,планирующий и организующий мероприятия для продвижения продуктов или услуг компании.,
28000,38000,выполняющий анализ больших объемов данных для выявления трендов и паттернов.,
29000,39000,создающий и поддерживающий веб-сайты и приложения.,
30000,40000,обеспечивающий качественный перевод документов и коммуникацию на различных языках.,
31000,41000,отвечающий за найм персонала,разработку политики компании по управлению персоналом и организацию корпоративных тренингов.
32000,42000,занимающийся проектированием и строительством различных объектов.,
33000,43000,проводящий исследования рынка недвижимости и анализирующий данные для принятия решений в этой сфере.,
34000,44000,осуществляющий диагностику и ремонт бытовых приборов.,
35000,45000,создающий техническую документацию для программного обеспечения или оборудования.,
36000,46000,создающий оригинальные модели одежды и аксессуаров.,
37000,47000,занимающийся разработкой новых химических соединений и материалов.,
38000,48000,оказывающий помощь пользователям в решении технических проблем с программным обеспечением или оборудованием.,
39000,49000,предлагающий клиентам страховые продукты и консультирующий по вопросам страхования.,
40000,50000,готовящий изысканные блюда для гурманов.,
41000,51000,осуществляющий контроль качества продукции или услуг компании.,
42000,52000,оптимизирующий бизнес-процессы компании через автоматизацию и разработку информационных систем.,
